task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
2;cpu05;e6/11401a;nf-e611401ab047b53affdd4d16e757f021;NFCORE_MAG:MAG:FASTP;test_minigutA;NFCORE_MAG:MAG:FASTP (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706302;1669416715000;1669416717000;10698;2000;-;140.9;0.9;1260683264;1935343616;1260683264;2002456576;23572053;7447921;210;698;401408;7462912;31;198;/data/work/e6/11401ab047b53affdd4d16e757f021;-;-
1;node10;45/b130d4;nf-45b130d440ed3579c68fd2a1bd71b7f3;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;-;NFCORE_MAG:MAG:CENTRIFUGE_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669416706343;1669416716000;1669416717000;10657;239;-;32.5;0.0;3022848;4071424;3022848;4079616;11101668;18397784;1427;1199;0;9211904;2;3;/data/work/45/b130d440ed3579c68fd2a1bd71b7f3;-;-
6;cpu05;8d/af982f;nf-8daf982fa17c5145e1e436bc35ac6a4e;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;-;NFCORE_MAG:MAG:KRAKEN2_DB_PREPARATION;COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669416706380;1669416717000;1669416717000;10620;133;-;42.6;0.0;3088384;4071424;3088384;4079616;3321255;6316469;774;426;335872;3170304;2;3;/data/work/8d/af982fa17c5145e1e436bc35ac6a4e;-;-
4;node8;2f/4294b6;nf-2f4294b6417090ad7f77635f9be29c4f;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION;bacteria_odb10.2020-03-06.tar;NFCORE_MAG:MAG:BUSCO_QC:BUSCO_DB_PREPARATION (bacteria_odb10.2020-03-06.tar);COMPLETED;0;-;ubuntu:20.04;1;14400000;-;7516192768;1;1669416706525;1669416720000;1669416720000;13475;246;-;82.8;0.0;3014656;4071424;3014656;4079616;33229661;53915496;3485;3600;0;27217920;3;3;/data/work/2f/4294b6417090ad7f77635f9be29c4f;-;-
9;cpu14;ff/0e67ec;nf-ff0e67ec2e5aed8883e2842c668f277b;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706597;1669416719000;1669416722000;15403;2000;-;146.0;0.9;1271189504;1820176384;1271189504;1935343616;24281250;7666964;211;699;0;7688192;26;177;/data/work/ff/0e67ec2e5aed8883e2842c668f277b;-;-
18;node8;fd/316cc3;nf-fd316cc319ff64bf313f6285c5859421;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706839;1669416719000;1669416721000;14161;2000;-;147.2;0.9;1199923200;1887285248;1273966592;1935343616;24280976;7666954;210;699;0;7688192;25;178;/data/work/fd/316cc319ff64bf313f6285c5859421;-;-
16;node10;7d/c008b4;nf-7dc008b401e66c4a3120a0da992b927c;NFCORE_MAG:MAG:FASTP;test_minigut_sample2B;NFCORE_MAG:MAG:FASTP (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706914;1669416715000;1669416717000;10086;2000;-;128.1;0.0;39833600;47456256;39833600;47460352;11899395;4118869;211;694;0;4141056;18;106;/data/work/7d/c008b401e66c4a3120a0da992b927c;-;-
20;cpu05;ca/c57129;nf-cac57129b6f327538005ce1afa79f52d;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706975;1669416715000;1669416718000;11025;2000;-;127.0;0.0;40411136;48062464;40411136;48066560;12746100;4372329;209;695;0;4390912;14;101;/data/work/ca/c57129b6f327538005ce1afa79f52d;-;-
23;node8;01/35d4f7;nf-0135d4f74ab81bda5dc6d361bedb5458;NFCORE_MAG:MAG:FASTP;test_minigutC;NFCORE_MAG:MAG:FASTP (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416707011;1669416718000;1669416721000;13989;2000;-;140.6;0.9;1260335104;1935343616;1260335104;1935347712;23571779;7447899;210;698;0;7462912;24;195;/data/work/01/35d4f74ab81bda5dc6d361bedb5458;-;-
25;cpu05;33/2b05ac;nf-332b05ac70cd56123b0c5b6a1b6d503b;NFCORE_MAG:MAG:FASTP;test_minigut_sample2C;NFCORE_MAG:MAG:FASTP (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416707112;1669416719000;1669416721000;13888;2000;-;129.5;0.0;39632896;47456256;39632896;47460352;11899394;4118869;209;694;8192;4145152;14;108;/data/work/33/2b05ac70cd56123b0c5b6a1b6d503b;-;-
27;node10;20/dce207;nf-20dce2075373cc45af3798de6d424aac;NFCORE_MAG:MAG:FASTP;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416707142;1669416716000;1669416718000;10858;2000;-;146.7;0.9;1274687488;1887285248;1274687488;2002452480;24281235;7666964;211;699;0;7688192;25;180;/data/work/20/dce2075373cc45af3798de6d424aac;-;-
3;cpu14;c2/31fdd7;nf-c231fdd7c249ed316b3a8e7d6f2d3316;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD;GCA_002596845.1_ASM259684v1_genomic.fna.gz;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_BUILD (GCA_002596845.1_ASM259684v1_genomic.fna.gz);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;1;14400000;-;7516192768;1;1669416706416;1669416723000;1669416724000;17584;0;-;49.7;0.0;2891776;11567104;2891776;11571200;1427229;8406723;462;1452;0;8421376;2;3;/data/work/c2/31fdd7c249ed316b3a8e7d6f2d3316;-;-
12;node10;a7/c5dc6b;nf-a7c5dc6bbc894e8715584963d75c2351;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706669;1669416718000;1669416720000;13331;1000;-;131.2;0.0;40517632;48062464;40517632;48066560;12746101;4372329;209;695;0;4395008;14;102;/data/work/a7/c5dc6bbc894e8715584963d75c2351;-;-
14;cpu14;57/539fb8;nf-57539fb8db48c61191081496dbe8c614;NFCORE_MAG:MAG:FASTP;test_minigutB;NFCORE_MAG:MAG:FASTP (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706734;1669416720000;1669416723000;16266;3000;-;133.4;0.8;1128382464;1134403584;1128382464;1134407680;23572054;7447909;211;698;0;7462912;14;176;/data/work/57/539fb8db48c61191081496dbe8c614;-;-
28;cpu14;93/9ef31e;nf-939ef31e4ffaaa8a6563dad46288ee82;NFCORE_MAG:MAG:FASTP;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:FASTP (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416707211;1669416723000;1669416725000;17789;2000;-;113.8;0.0;40316928;48062464;40316928;48066560;12746117;4372329;210;695;0;4390912;16;89;/data/work/93/9ef31e4ffaaa8a6563dad46288ee82;-;-
7;node8;db/fabcea;nf-dbfabcea72349c80949236a6c8837a55;NFCORE_MAG:MAG:FASTP;test_minigut_sample2A;NFCORE_MAG:MAG:FASTP (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastp:0.23.2--h79da9fb_0;6;21600000;-;38654705664;1;1669416706486;1669416721000;1669416724000;17514;2000;-;105.2;0.9;1238904832;1751601152;1238904832;1868394496;11899137;4118859;209;694;0;4145152;22;138;/data/work/db/fabcea72349c80949236a6c8837a55;-;-
5;cpu05;28/85b052;nf-2885b0526cb545be99e57705a6609e44;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706453;1669416730000;1669416734000;27547;3000;-;282.3;0.2;321146880;4640055296;322158592;4666916864;28502482;3637522;26753;11072;32768;4108288;9;3;/data/work/28/85b0526cb545be99e57705a6609e44;-;-
10;node10;a1/a36a5f;nf-a1a36a5fc48348dd990cbaff0a3f2748;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706561;1669416727000;1669416732000;25439;4000;-;241.0;0.2;265224192;4635860992;266571776;4666916864;28736490;3711232;27275;11134;0;4149248;10;1;/data/work/a1/a36a5fc48348dd990cbaff0a3f2748;-;-
17;cpu05;ca/e2ee0e;nf-cae2ee0e79c2391a423090a84a9cba95;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706801;1669416727000;1669416733000;26199;5000;-;162.9;0.2;305934336;4640055296;306294784;4666916864;28766863;3711247;27353;11134;1900544;4149248;29;0;/data/work/ca/e2ee0e79c2391a423090a84a9cba95;-;-
24;node10;fe/25c18a;nf-fe25c18a251d0ccda5cf4076f3f323b1;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_hg38hostC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416707077;1669416729000;1669416734000;26923;4000;-;230.6;0.2;316424192;4640055296;316956672;4668325888;28767653;3711232;27246;11134;0;4165632;9;5;/data/work/fe/25c18a251d0ccda5cf4076f3f323b1;-;-
26;cpu05;8e/1762cc;nf-8e1762ccf7d66d5dc9a92b3b9843da6c;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416707177;1669416733000;1669416737000;29823;3000;-;266.4;0.2;302686208;4641726464;302686208;4666916864;25139076;3157651;20182;10404;118784;3571712;9;4;/data/work/8e/1762ccf7d66d5dc9a92b3b9843da6c;-;-
13;node8;e9/1e7c12;nf-e91e7c1215110b78ccb960f6bbf0cafa;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706701;1669416729000;1669416733000;26299;3000;-;243.1;0.2;318935040;4640055296;320065536;4666916864;28536410;3637512;26778;11072;0;4075520;9;8;/data/work/e9/1e7c1215110b78ccb960f6bbf0cafa;-;-
19;cpu14;2c/b65393;nf-2cb653937b504931f985ed70c9ddabbf;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706877;1669416730000;1669416734000;27123;3000;-;206.6;0.2;304238592;4640055296;305446912;4666916864;25140546;3157653;20270;10404;0;3518464;9;7;/data/work/2c/b653937b504931f985ed70c9ddabbf;-;-
21;node10;73/00b1ab;nf-7300b1ab01323f3585a63b19a00481e7;NFCORE_MAG:MAG:FASTQC_RAW;test_minigutC;NFCORE_MAG:MAG:FASTQC_RAW (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706943;1669416733000;1669416737000;30057;3000;-;247.5;0.2;326557696;4640055296;326721536;4666916864;28536636;3637522;26751;11072;0;4063232;9;3;/data/work/73/00b1ab01323f3585a63b19a00481e7;-;-
11;node8;9a/6edd01;nf-9a6edd013788651fcbc4c4b4a8c082f9;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706634;1669416732000;1669416736000;29366;3000;-;205.3;0.2;298180608;4640055296;299962368;4666916864;25142088;3157643;20279;10404;0;3579904;9;7;/data/work/9a/6edd013788651fcbc4c4b4a8c082f9;-;-
30;cpu14;a7/6d8b75;nf-a76d8b75fa631babb0846c3112cb19fe;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_hg38hostA;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729721;1669416734000;1669416747000;17279;12000;-;374.8;0.0;56410112;659963904;56410112;685092864;124465847;123877651;8710;15725;0;6635520;1497;1702;/data/work/a7/6d8b75fa631babb0846c3112cb19fe;-;-
33;node8;bf/600355;nf-bf600355df40790d1dfcb8ee9e04d17b;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729829;1669416738000;1669416747000;17171;7000;-;371.9;0.0;57769984;659963904;57769984;685092864;86436281;73954274;5857;9844;0;3514368;1123;983;/data/work/bf/600355df40790d1dfcb8ee9e04d17b;-;-
35;cpu05;f5/893e7a;nf-f5893e7adf4870056f426ef374dc261a;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2C;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729926;1669416740000;1669416747000;17074;6000;-;370.6;0.0;57716736;659963904;57716736;685092864;84201272;71048723;5664;9488;1064960;3284992;912;832;/data/work/f5/893e7adf4870056f426ef374dc261a;-;-
8;cpu14;c6/5cbcb4;nf-c65cbcb4c8a17d0dbc8a6919aeed0b84;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2A;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706257;1669416745000;1669416750000;43743;4000;-;223.2;0.2;308736000;4640055296;312791040;4666916864;24902386;3173632;19721;10423;0;3633152;9;4;/data/work/c6/5cbcb4c8a17d0dbc8a6919aeed0b84;-;-
15;node10;a0/bc679a;nf-a0bc679a62b20f8da7637708967ae477;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2B;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416706770;1669416746000;1669416751000;44230;4000;-;267.1;0.2;313974784;4640055296;316985344;4668325888;24906160;3173631;19777;10423;0;3530752;9;8;/data/work/a0/bc679a62b20f8da7637708967ae477;-;-
32;node10;dd/b02285;nf-ddb02285499972469dda09b17f73fcbc;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2B;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2B);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729769;1669416744000;1669416751000;21231;6000;-;376.1;0.0;57806848;659963904;57806848;685092864;84201273;71048333;5673;9489;0;3284992;883;790;/data/work/dd/b02285499972469dda09b17f73fcbc;-;-
31;node8;13/a9a93a;nf-13a9a93af030f542c798d10d9454eb95;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_hg38hostB;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729801;1669416735000;1669416748000;18199;12000;-;367.4;0.0;56512512;659968000;56512512;685096960;124465573;123877613;8703;15725;0;6635520;1644;1803;/data/work/13/a9a93af030f542c798d10d9454eb95;-;-
34;cpu14;83/adb307;nf-83adb307bd4e84853fdd6b52bb3c5cc1;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigutC;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigutC);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729859;1669416739000;1669416752000;22141;12000;-;379.8;0.0;56713216;659963904;56713216;659968000;122567635;121406629;8622;15421;0;6434816;1455;1666;/data/work/83/adb307bd4e84853fdd6b52bb3c5cc1;-;-
36;node10;a2/cbcefb;nf-a2cbcefbd6ee760899362d8b9cfaf0c6;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_hg38hostC;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729888;1669416739000;1669416752000;22112;11000;-;375.0;0.0;56725504;659963904;56725504;685092864;124465831;123877499;8812;15725;0;6635520;1710;1881;/data/work/a2/cbcefbd6ee760899362d8b9cfaf0c6;-;-
22;cpu05;94/c0fe70;nf-94c0fe70216a7bf5f3fe613cc99befe4;NFCORE_MAG:MAG:FASTQC_RAW;test_minigut_sample2C;NFCORE_MAG:MAG:FASTQC_RAW (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416707044;1669416748000;1669416753000;45956;4000;-;271.3;0.2;314175488;4640055296;315629568;4695248896;24904384;3173632;19775;10465;0;3567616;9;5;/data/work/94/c0fe70216a7bf5f3fe613cc99befe4;-;-
29;cpu05;96/f11361;nf-96f11361c9183b7ded2c77c6d6058c11;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigutA;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigutA);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416729691;1669416744000;1669416756000;26309;11000;-;375.8;0.0;56217600;659963904;56217600;685092864;122567616;121406402;8556;15420;0;6430720;1532;1905;/data/work/96/f11361c9183b7ded2c77c6d6058c11;-;-
38;cpu14;20/20a23d;nf-2020a23d9f9692087120c1429e81ebe1;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigutB;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigutB);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416730443;1669416742000;1669416755000;24557;12000;-;379.5;0.0;56688640;659963904;56688640;659968000;122567634;121406504;8511;15420;0;6430720;1459;1706;/data/work/20/20a23d9f9692087120c1429e81ebe1;-;-
39;node8;25/4abaad;nf-254abaad3da70d133c0a96092bd85e15;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2_hg38hostC;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2_hg38hostC);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416730693;1669416746000;1669416753000;22307;6000;-;361.2;0.0;57749504;659963904;57749504;685092864;86436280;73954522;5849;9844;0;3514368;1099;958;/data/work/25/4abaad3da70d133c0a96092bd85e15;-;-
40;node8;24/4cbbd2;nf-244cbbd24d8be7f188656f02ef7e0c7f;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2A;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2A);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416734907;1669416743000;1669416751000;16093;7000;-;358.7;0.0;57331712;659963904;57331712;685092864;84201015;71048371;5709;9488;0;3284992;1143;972;/data/work/24/4cbbd24d8be7f188656f02ef7e0c7f;-;-
37;cpu14;f0/c56276;nf-f0c562767475fa6f74e49951818b2121;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN;test_minigut_sample2_hg38hostA;NFCORE_MAG:MAG:BOWTIE2_PHIX_REMOVAL_ALIGN (test_minigut_sample2_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/bowtie2:2.4.2--py38h1c8e9b9_1;4;21600000;-;8589934592;1;1669416730019;1669416748000;1669416756000;25981;7000;-;374.5;0.0;57614336;659968000;57614336;685096960;86436554;73954101;5865;9844;0;3514368;1162;792;/data/work/f0/c562767475fa6f74e49951818b2121;-;-
43;node10;31/277487;nf-31277487e2f73aea347f787dcc2d260c;NFCORE_MAG:MAG:CENTRIFUGE;test_minigut_hg38hostA-minigut_cf;NFCORE_MAG:MAG:CENTRIFUGE (test_minigut_hg38hostA-minigut_cf);COMPLETED;0;-;quay.io/biocontainers/centrifuge:1.0.4_beta--he513fc3_5;6;21600000;-;42949672960;1;1669416750167;1669416759000;1669416761000;10833;1000;-;285.0;0.0;9371648;30285824;9371648;30289920;60057885;5968655;4843;1042;0;3502080;9;5;/data/work/31/277487e2f73aea347f787dcc2d260c;-;-
55;cpu05;42/01deba;nf-4201debac7b84da3fd7b0cdc381142ac;NFCORE_MAG:MAG:MEGAHIT;test_minigut_sample2C;NFCORE_MAG:MAG:MEGAHIT (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/megahit:1.2.9--h2e03b76_1;6;21600000;-;42949672960;1;1669416750537;1669416754000;1669416769000;18463;15000;-;509.1;0.2;306274304;1617801216;306274304;1693306880;634826691;88057806;71511;11710;11071488;70721536;664;136;/data/work/42/01debac7b84da3fd7b0cdc381142ac;-;-
41;cpu05;24/897b9e;nf-24897b9e61b4c6e165fc660c73ba59e0;NFCORE_MAG:MAG:FASTQC_TRIMMED;test_minigut_hg38hostA;NFCORE_MAG:MAG:FASTQC_TRIMMED (test_minigut_hg38hostA);COMPLETED;0;-;quay.io/biocontainers/fastqc:0.11.9--0;6;21600000;-;38654705664;1;1669416750103;1669416763000;1669416769000;18897;4000;-;231.6;0.2;320167936;4640055296;321560576;4666916864;28552971;3875076;26854;11360;180224;4251648;10;8;/data/work/24/897b9e61b4c6e165fc660c73ba59e0;-;-
47;node10;6c/30a03e;nf-6c30a03e26f2bdb2133cdca1f0d9a985;NFCORE_MAG:MAG:SPADES;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:SPADES (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/spades:3.15.3--h95f258a_0;6;21600000;-;53687091200;1;1669416750259;1669416752000;1669416770000;19741;18000;-;419.7;0.2;230625280;4995485696;241156096;4999684096;135828890;635586086;13154;22411;0;656752640;998;823;/data/work/6c/30a03e26f2bdb2133cdca1f0d9a985;-;-
102;cpu14;fd/c6c0eb;nf-fdc6c0eb7da0a9de2e6fef53e184f82c;NFCORE_MAG:MAG:QUAST;MEGAHIT-test_minigut_sample2C;NFCORE_MAG:MAG:QUAST (MEGAHIT-test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/quast:5.0.2--py37pl526hb5aa323_2;1;14400000;-;7516192768;1;1669416769945;1669416771000;1669416774000;4055;2727;-;89.7;0.1;77029376;1556570112;79433728;1563082752;104354268;4788547;21953;272;0;4878336;436;532;/data/work/fd/c6c0eb7da0a9de2e6fef53e184f82c;-;-
103;node8;08/c2515a;nf-08c2515a7260701d2e77385c33e9a521;NFCORE_MAG:MAG:PRODIGAL;test_minigut_sample2C;NFCORE_MAG:MAG:PRODIGAL (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-2e442ba7b07bfa102b9cf8fac6221263cd746ab8:57f05cfa73f769d6ed6d54144cb3aa2a6a6b17e0-0;2;14400000;-;12884901888;1;1669416769975;1669416771000;1669416773000;3025;2000;-;99.3;0.0;56164352;131735552;56164352;131739648;1440156;4258157;386;4337;0;3526656;142;156;/data/work/08/c2515a7260701d2e77385c33e9a521;-;-
50;cpu05;9b/c4a9f1;nf-9bc4a9f1e7b7ba5338b78a125500e8c1;NFCORE_MAG:MAG:MEGAHIT;test_minigut_sample2_hg38hostB;NFCORE_MAG:MAG:MEGAHIT (test_minigut_sample2_hg38hostB);COMPLETED;0;-;quay.io/biocontainers/megahit:1.2.9--h2e03b76_1;6;21600000;-;42949672960;1;1669416750322;1669416759000;1669416775000;24678;16000;-;509.8;0.2;306184192;1617616896;306184192;1693122560;643409341;91984484;72130;12123;0;73887744;509;140;/data/work/9b/c4a9f1e7b7ba5338b78a125500e8c1;-;-
54;node8;e3/0307c2;nf-e30307c2879fee2e1954f829bd3a3c0f;NFCORE_MAG:MAG:SPADES;test_minigut_sample2C;NFCORE_MAG:MAG:SPADES (test_minigut_sample2C);COMPLETED;0;-;quay.io/biocontainers/spades:3.15.3--h95f258a_0;6;21600000;-;53687091200;1;1669416750478;1669416758000;1669416777000;26522;19000;-;433.4;0.2;292659200;4954152960;294252544;4993941504;128154492;601767661;12474;21615;0;622075904;832;953;/data/work/e3/0307c2879fee2e1954f829bd3a3c0f;-;-
