task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
1;node10;ee/b4cfa9;nf-eeb4cfa9db4f61e42ec3f66098a5cf13;CHECK_DESIGN;input.csv;CHECK_DESIGN (input.csv);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670049142465;1670049151000;1670049159000;16535;4983;-;1.2;0.0;3293184;5615616;3293184;5632000;613338;3292;225;13;0;4096;2;2;/data/work/ee/b4cfa9db4f61e42ec3f66098a5cf13;-;-
2;node10;94/b4be15;nf-94b4be15d28827ce6ecebc6ec5e0159d;BWA_INDEX;genome.fa;BWA_INDEX (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049164975;1670049171000;1670049179000;14025;8090;-;68.0;0.0;60706816;65286144;60706816;65302528;49257411;33434047;1704;50;0;33468416;210;476;/data/work/94/b4be15d28827ce6ecebc6ec5e0159d;-;-
3;node8;19/66dd9e;nf-1966dd9ea998fa9fc25e258a2f06fd9e;MAKE_GENE_BED;genes.gtf;MAKE_GENE_BED (genes.gtf);COMPLETED;0;-;nfcore/atacseq:1.2.2;2;21600000;-;12884901888;1;1670049165023;1670049175000;1670049176000;10977;301;-;96.0;0.0;3231744;5615616;3231744;5632000;12185232;400811;1619;61;0;401408;2;3;/data/work/19/66dd9ea998fa9fc25e258a2f06fd9e;-;-
25;node10;cd/cacc62;nf-cdcacc62cde15983e694e0883364e537;FASTQC;OSMOTIC_STRESS_T15_R2_T1;FASTQC (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165733;1670049174000;1670049180000;14267;5546;-;197.1;0.2;289591296;4557074432;294510592;4614062080;41779783;4204865;36399;12561;0;4608000;11;9;/data/work/cd/cacc62cde15983e694e0883364e537;-;-
29;node8;50/784bec;nf-50784beca2f7c0ccc85631d6c03c9913;FASTQC;OSMOTIC_STRESS_T15B_R1_T1;FASTQC (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165964;1670049174000;1670049180000;14036;5701;-;195.4;0.2;290664448;4562063360;290664448;4611964928;41798561;4175253;36458;12491;0;4763648;11;9;/data/work/50/784beca2f7c0ccc85631d6c03c9913;-;-
33;node10;43/21475e;nf-4321475e0675a42fe4e43c3430d23b23;FASTQC;OSMOTIC_STRESS_T15C_R1_T1;FASTQC (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166061;1670049174000;1670049179000;12939;4655;-;219.5;0.2;236085248;4552880128;236085248;4611964928;41806796;4175258;36473;12514;0;4603904;11;14;/data/work/43/21475e0675a42fe4e43c3430d23b23;-;-
62;cpu14;12/337705;nf-1233770577a88154c8e73305eecc0da2;output_documentation;-;output_documentation;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670049167045;1670049179000;1670049179000;11955;298;-;67.9;0.0;3256320;5615616;3256320;5632000;3550803;1315241;582;13;0;1318912;2;1;/data/work/12/33770577a88154c8e73305eecc0da2;-;-
4;cpu14;42/4e1d72;nf-424e1d72f3150fdb08e6f5cebb6017c7;MAKE_GENOME_FILTER;genome.fa;MAKE_GENOME_FILTER (genome.fa);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670049165069;1670049177000;1670049178000;12931;173;-;65.6;0.0;3309568;5615616;3309568;5632000;12988165;1266;463;17;0;16384;2;1;/data/work/42/4e1d72f3150fdb08e6f5cebb6017c7;-;-
22;cpu05;ba/acfea9;nf-baacfea9d2530bd82d315954e97bad12;FASTQC;OSMOTIC_STRESS_T15_R1_T1;FASTQC (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165700;1670049180000;1670049185000;19300;5542;-;187.5;0.2;296411136;4557074432;296513536;4611964928;41804869;4175167;36452;12514;0;4612096;11;11;/data/work/ba/acfea9d2530bd82d315954e97bad12;-;-
26;cpu14;b1/0efa24;nf-b10efa2443ebb1ea87358792cd6abc3b;FASTQC;OSMOTIC_STRESS_T15A_R1_T1;FASTQC (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165828;1670049179000;1670049186000;20172;6502;-;174.9;0.2;288632832;4557074432;293343232;4611964928;41796584;4175261;36412;12537;0;4726784;11;12;/data/work/b1/0efa2443ebb1ea87358792cd6abc3b;-;-
32;node8;e1/61efa4;nf-e161efa4625744d9179bc9b2b901baac;FASTQC;OSMOTIC_STRESS_T15B_R2_T1;FASTQC (OSMOTIC_STRESS_T15B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165931;1670049175000;1670049182000;16069;5517;-;190.9;0.2;276668416;4557074432;276668416;4614062080;41788086;4204954;36435;12584;0;4710400;11;9;/data/work/e1/61efa4625744d9179bc9b2b901baac;-;-
36;cpu05;32/e0a2a1;nf-32e0a2a1e4632ed149d6eae6de007c77;FASTQC;OSMOTIC_STRESS_T15D_R1_T1;FASTQC (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166191;1670049178000;1670049185000;18809;6616;-;165.8;0.2;296583168;4557074432;299151360;4614062080;41788820;4175260;36453;12514;0;4669440;11;3;/data/work/32/e0a2a1e4632ed149d6eae6de007c77;-;-
40;cpu14;13/a8e6ce;nf-13a8e6ce7dad5616122196b80f19a792;FASTQC;OSMOTIC_STRESS_T15E_R1_T1;FASTQC (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166324;1670049181000;1670049186000;19676;5542;-;190.4;0.2;297967616;4557074432;300122112;4614062080;41797066;4175260;36462;12514;0;4599808;11;9;/data/work/13/a8e6ce7dad5616122196b80f19a792;-;-
28;cpu14;f1/daa3ce;nf-f1daa3ce216b413dc949e1485c1dc9ab;FASTQC;OSMOTIC_STRESS_T15A_R2_T1;FASTQC (OSMOTIC_STRESS_T15A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165861;1670049181000;1670049187000;21139;6682;-;175.4;0.2;291495936;4557074432;296292352;4614062080;41786247;4204961;36396;12561;0;4620288;11;9;/data/work/f1/daa3ce216b413dc949e1485c1dc9ab;-;-
35;node10;cd/e1d38f;nf-cde1d38f23854349b904530b660e0649;FASTQC;OSMOTIC_STRESS_T15C_R2_T1;FASTQC (OSMOTIC_STRESS_T15C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166092;1670049183000;1670049189000;22908;5522;-;198.7;0.2;291328000;4557074432;295985152;4611964928;41788244;4204960;36429;12561;0;4620288;11;2;/data/work/cd/e1d38f23854349b904530b660e0649;-;-
44;node8;40/0e80d8;nf-400e80d8b23141c904012ce4ba66c927;FASTQC;OSMOTIC_STRESS_T15F_R1_T1;FASTQC (OSMOTIC_STRESS_T15F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166459;1670049177000;1670049184000;17541;6663;-;166.4;0.2;290365440;4557074432;295235584;4614062080;41798491;4175250;36456;12537;0;4648960;11;9;/data/work/40/0e80d8b23141c904012ce4ba66c927;-;-
39;node10;9d/832cfc;nf-9d832cfcf25901688e5b869de474b256;FASTQC;OSMOTIC_STRESS_T15D_R2_T1;FASTQC (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166226;1670049188000;1670049193000;26774;5502;-;200.8;0.2;293105664;4557074432;298209280;4611964928;41788183;4204960;36420;12584;0;4694016;10;8;/data/work/9d/832cfcf25901688e5b869de474b256;-;-
46;cpu05;e8/a81fc0;nf-e8a81fc0fae0c051f4a760e863a6b250;TRIMGALORE;OSMOTIC_STRESS_T15_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166521;1670049180000;1670049190000;23479;10468;-;223.8;0.2;281616384;3212353536;281718784;3267244032;350615149;300192098;57811;26011;0;25882624;3706;139;/data/work/e8/a81fc0fae0c051f4a760e863a6b250;-;-
63;node8;7d/e94d0b;nf-7de94d0bdc37bfe419a3d442c232aef0;MAKE_TSS_BED;genes.bed;MAKE_TSS_BED (genes.bed);COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670049181917;1670049189000;1670049189000;7083;33;-;112.7;0.0;3248128;5615616;3248128;5632000;854552;611004;230;39;0;212992;4;0;/data/work/7d/e94d0bdc37bfe419a3d442c232aef0;-;-
6;cpu05;21/d18008;nf-21d180082f42c68e4b337756af083eb4;FASTQC;OSMOTIC_STRESS_T0_R2_T1;FASTQC (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165143;1670049190000;1670049195000;29857;5537;-;201.2;0.2;288583680;4557074432;293371904;4611964928;41598397;4172430;36053;12525;0;4608000;10;3;/data/work/21/d180082f42c68e4b337756af083eb4;-;-
8;cpu14;c4/3e0c27;nf-c43e0c2710587da6efe51344b131bf97;FASTQC;OSMOTIC_STRESS_T0A_R2_T1;FASTQC (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165218;1670049193000;1670049197000;31782;4506;-;227.6;0.2;258826240;4557074432;258826240;4614062080;41598707;4172526;36081;12525;0;4648960;10;3;/data/work/c4/3e0c2710587da6efe51344b131bf97;-;-
43;node8;3f/813ddd;nf-3f813ddd51c17b76f6cc9cf5a3c30a4d;FASTQC;OSMOTIC_STRESS_T15E_R2_T1;FASTQC (OSMOTIC_STRESS_T15E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166359;1670049192000;1670049197000;30641;4503;-;215.6;0.2;243695616;4557074432;243695616;4614062080;41787989;4204949;36448;12630;0;4636672;10;7;/data/work/3f/813ddd51c17b76f6cc9cf5a3c30a4d;-;-
61;node8;b9/37fd46;nf-b937fd46b227e3d7f1cc0cce4244c647;get_software_versions;-;get_software_versions;COMPLETED;0;-;nfcore/atacseq:1.2.2;1;14400000;-;6442450944;1;1670049167010;1670049186000;1670049191000;23990;4682;-;90.5;0.0;69423104;4421070848;69423104;4485984256;51676380;40454;13158;111;0;270336;35;61;/data/work/b9/37fd46b227e3d7f1cc0cce4244c647;-;-
15;cpu05;a7/6a265b;nf-a76a265b58b4519ba91a9804a64d4a5d;FASTQC;OSMOTIC_STRESS_T0C_R2_T1;FASTQC (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165350;1670049196000;1670049202000;36650;5519;-;194.7;0.2;296972288;4557074432;297074688;4614062080;41598490;4172522;36063;12502;0;4669440;11;3;/data/work/a7/6a265b58b4519ba91a9804a64d4a5d;-;-
17;node10;dc/3f0103;nf-dc3f01039644e2789486c2fb82a04c11;FASTQC;OSMOTIC_STRESS_T0D_R2_T1;FASTQC (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165419;1670049197000;1670049203000;37581;6483;-;161.3;0.2;273186816;4557074432;273281024;4611964928;41600656;4172524;36106;12525;0;4636672;10;3;/data/work/dc/3f01039644e2789486c2fb82a04c11;-;-
47;node8;06/7b2f6b;nf-067b2f6b1936fd5631e584768e9052f0;FASTQC;OSMOTIC_STRESS_T15F_R2_T1;FASTQC (OSMOTIC_STRESS_T15F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049166490;1670049195000;1670049200000;33510;4535;-;225.6;0.2;256356352;4557074432;256577536;4614062080;41788135;4204951;36461;12630;0;4640768;10;9;/data/work/06/7b2f6b1936fd5631e584768e9052f0;-;-
49;node10;79/dca48a;nf-79dca48ae9346c1482e592e00829f0a8;TRIMGALORE;OSMOTIC_STRESS_T15A_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166583;1670049192000;1670049203000;36417;10340;-;215.4;0.2;272416768;3212374016;272416768;3269361664;350616626;300192294;56965;25988;0;25767936;3848;125;/data/work/79/dca48ae9346c1482e592e00829f0a8;-;-
51;cpu14;06/b727ca;nf-06b727cafc0f85967842ce371bb9df7d;TRIMGALORE;OSMOTIC_STRESS_T15B_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166615;1670049195000;1670049205000;38385;10361;-;224.8;0.2;279220224;3212353536;279220224;3269341184;350607334;300192275;57983;26011;0;25817088;4397;132;/data/work/06/b727cafc0f85967842ce371bb9df7d;-;-
5;cpu05;8f/169c0f;nf-8f169c0fb21bd0590fe19bf1a74c14ce;FASTQC;OSMOTIC_STRESS_T0_R1_T1;FASTQC (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165105;1670049204000;1670049209000;43895;4509;-;231.1;0.2;288071680;4557074432;292352000;4611964928;41553864;4199878;36024;12558;0;4653056;10;5;/data/work/8f/169c0fb21bd0590fe19bf1a74c14ce;-;-
13;node8;7e/4078a2;nf-7e4078a276ff17280087c9a5c5e94be4;FASTQC;OSMOTIC_STRESS_T0B_R2_T1;FASTQC (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165316;1670049198000;1670049204000;38684;5546;-;187.8;0.2;293863424;4557713408;293965824;4614062080;41591906;4172515;36066;12525;0;4608000;10;9;/data/work/7e/4078a276ff17280087c9a5c5e94be4;-;-
19;cpu14;60/c36d22;nf-60c36d221ef388bc16e9d94e59ae186e;FASTQC;OSMOTIC_STRESS_T0E_R2_T1;FASTQC (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165489;1670049200000;1670049206000;40511;5496;-;190.4;0.2;282021888;4557074432;285642752;4611964928;41589947;4172524;36046;12525;0;4653056;10;9;/data/work/60/c36d221ef388bc16e9d94e59ae186e;-;-
21;node10;93/0bde4c;nf-930bde4c551c47378bf9bf1474d0bd0e;FASTQC;OSMOTIC_STRESS_T0F_R2_T1;FASTQC (OSMOTIC_STRESS_T0F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165597;1670049201000;1670049206000;40403;4524;-;225.5;0.2;255807488;4557074432;255807488;4614062080;41591750;4172524;36060;12502;0;4632576;10;8;/data/work/93/0bde4c551c47378bf9bf1474d0bd0e;-;-
53;cpu05;8c/ff7128;nf-8cff712881a40d77093bda0e4b4bb078;TRIMGALORE;OSMOTIC_STRESS_T15C_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166705;1670049199000;1670049209000;42295;10329;-;218.6;0.2;273301504;3212238848;273399808;3267129344;350615283;300192275;57739;26011;0;25804800;4197;140;/data/work/8c/ff712881a40d77093bda0e4b4bb078;-;-
7;cpu14;60/92bf03;nf-6092bf032403408b9521fa0cc54b7231;FASTQC;OSMOTIC_STRESS_T0A_R1_T1;FASTQC (OSMOTIC_STRESS_T0A_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165177;1670049204000;1670049210000;44823;5485;-;197.0;0.2;288366592;4557074432;293158912;4617908224;41553047;4199975;35938;12627;0;4657152;10;8;/data/work/60/92bf032403408b9521fa0cc54b7231;-;-
12;node8;46/828167;nf-46828167d242b5d32a1012bacdb9c365;FASTQC;OSMOTIC_STRESS_T0B_R1_T1;FASTQC (OSMOTIC_STRESS_T0B_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165250;1670049209000;1670049214000;48750;4503;-;229.0;0.2;270450688;4557074432;271667200;4616159232;41555030;4199967;35986;12604;0;4595712;10;9;/data/work/46/828167d242b5d32a1012bacdb9c365;-;-
14;cpu05;09/a29d5b;nf-09a29d5b0be4eacd3d8045596a73adbb;FASTQC;OSMOTIC_STRESS_T0C_R1_T1;FASTQC (OSMOTIC_STRESS_T0C_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165283;1670049209000;1670049214000;48717;5519;-;203.0;0.2;288661504;4557074432;293740544;4611964928;41544995;4199974;35972;12535;0;4632576;10;4;/data/work/09/a29d5b0be4eacd3d8045596a73adbb;-;-
55;node8;e2/ea7ffb;nf-e2ea7ffb173b599cde21a1bae61d40b3;TRIMGALORE;OSMOTIC_STRESS_T15D_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166767;1670049206000;1670049216000;49233;10324;-;224.6;0.2;266788864;3212247040;271589376;3269234688;350608272;300192294;58113;25988;0;25747456;3960;144;/data/work/e2/ea7ffb173b599cde21a1bae61d40b3;-;-
16;node10;23/92c37c;nf-2392c37c235503237e5410d1aa5f22bb;FASTQC;OSMOTIC_STRESS_T0D_R1_T1;FASTQC (OSMOTIC_STRESS_T0D_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165385;1670049213000;1670049218000;52615;5482;-;198.2;0.2;290099200;4557074432;295383040;4611964928;41555064;4199975;35989;12581;0;4571136;10;9;/data/work/23/92c37c235503237e5410d1aa5f22bb;-;-
18;node8;ed/806aa2;nf-ed806aa2bbab754661ffa47b30eaa12f;FASTQC;OSMOTIC_STRESS_T0E_R1_T1;FASTQC (OSMOTIC_STRESS_T0E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165451;1670049214000;1670049218000;52549;4523;-;229.4;0.2;245383168;4554977280;245383168;4614062080;41554754;4199965;35959;12604;0;4657152;10;6;/data/work/ed/806aa2bbab754661ffa47b30eaa12f;-;-
20;cpu14;d3/9fbff9;nf-d39fbff9ef6bbb7ddd00fefbb0b51a12;FASTQC;OSMOTIC_STRESS_T0F_R1_T1;FASTQC (OSMOTIC_STRESS_T0F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;28800000;-;38654705664;1;1670049165629;1670049215000;1670049221000;55371;5489;-;198.3;0.2;290672640;4557074432;295563264;4614062080;41553324;4199975;35966;12604;0;4571136;10;9;/data/work/d3/9fbff9ef6bbb7ddd00fefbb0b51a12;-;-
57;node10;1a/96dff7;nf-1a96dff70c2e950cad5756b0b73240db;TRIMGALORE;OSMOTIC_STRESS_T15E_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15E_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166832;1670049208000;1670049218000;51168;10347;-;230.5;0.2;278593536;3212361728;283193344;3269349376;350616892;300192275;57262;25988;0;25755648;3890;127;/data/work/1a/96dff70c2e950cad5756b0b73240db;-;-
48;cpu05;02/fc89cc;nf-02fc89cc426fc2e548a4c513246ba979;TRIMGALORE;OSMOTIC_STRESS_T15_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166553;1670049215000;1670049226000;59447;10295;-;227.8;0.2;247005184;3212353536;247005184;3267244032;345199099;294815970;56828;25667;0;25436160;4276;141;/data/work/02/fc89cc426fc2e548a4c513246ba979;-;-
59;cpu14;a4/98c029;nf-a498c029c38f09fb49c8b36db2661092;TRIMGALORE;OSMOTIC_STRESS_T15F_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T15F_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166947;1670049211000;1670049221000;54053;10321;-;230.3;0.2;276086784;3212382208;280997888;3267272704;350615083;300192265;57067;26011;0;25718784;3784;144;/data/work/a4/98c029c38f09fb49c8b36db2661092;-;-
50;cpu05;1b/d422a5;nf-1bd422a52f9aedd3fb5355ebf729ec09;TRIMGALORE;OSMOTIC_STRESS_T15A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166646;1670049221000;1670049230000;63354;9281;-;240.5;0.2;266080256;3212365824;270577664;3269353472;345190952;294816138;57036;25667;0;25427968;4631;140;/data/work/1b/d422a52f9aedd3fb5355ebf729ec09;-;-
52;node8;59/8bb784;nf-598bb78462882bbd09314083b8053f71;TRIMGALORE;OSMOTIC_STRESS_T15B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166675;1670049221000;1670049231000;64325;10244;-;222.7;0.2;278827008;3212369920;278929408;3267260416;345201553;294816130;56913;25690;0;25395200;4386;146;/data/work/59/8bb78462882bbd09314083b8053f71;-;-
54;node8;65/ca46a6;nf-65ca46a6270604f55fe5f421ae04be2b;TRIMGALORE;OSMOTIC_STRESS_T15C_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166738;1670049225000;1670049236000;69262;10225;-;228.2;0.2;286535680;3212296192;288968704;3269283840;345201907;294816128;56812;25667;0;25444352;4310;196;/data/work/65/ca46a6270604f55fe5f421ae04be2b;-;-
60;cpu14;d8/0fa415;nf-d80fa415f48a0ffbc94455ffa091e03e;TRIMGALORE;OSMOTIC_STRESS_T15F_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15F_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166978;1670049226000;1670049235000;68022;9288;-;241.3;0.2;268664832;3212357632;268763136;3267248128;345198942;294816139;57305;25713;0;25415680;4860;188;/data/work/d8/0fa415f48a0ffbc94455ffa091e03e;-;-
10;cpu14;04/b1316b;nf-04b1316bf0d369356318af336d825c2e;TRIMGALORE;OSMOTIC_STRESS_T0_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049165524;1670049230000;1670049240000;74476;10157;-;228.9;0.2;298606592;3212357632;298606592;3269345280;344127725;294033597;56220;25761;0;25079808;4849;137;/data/work/04/b1316bf0d369356318af336d825c2e;-;-
23;cpu05;53/46d503;nf-5346d503005c6b0c078e95f1581af035;TRIMGALORE;OSMOTIC_STRESS_T0A_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0A_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049165765;1670049230000;1670049240000;74235;9196;-;236.3;0.2;262283264;3212357632;262381568;3269345280;344128770;294033702;56715;25761;0;24997888;4682;134;/data/work/53/46d503005c6b0c078e95f1581af035;-;-
56;node10;f0/4ee161;nf-f04ee161883394c0394227e61cc1cccc;TRIMGALORE;OSMOTIC_STRESS_T15D_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166798;1670049233000;1670049244000;77202;10281;-;216.1;0.2;276799488;3212824576;276799488;3269345280;345200844;294816139;56421;25667;0;25403392;4015;149;/data/work/f0/4ee161883394c0394227e61cc1cccc;-;-
58;node10;79/1d3511;nf-791d3511c884c64b229573c838aee488;TRIMGALORE;OSMOTIC_STRESS_T15E_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T15E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166863;1670049232000;1670049243000;76137;10323;-;224.6;0.2;265117696;3212361728;267264000;3269349376;345200605;294816139;56981;25690;0;25370624;4185;150;/data/work/79/1d3511c884c64b229573c838aee488;-;-
27;cpu05;22/d55066;nf-22d5506626c5dc564ba34eb0cf089407;TRIMGALORE;OSMOTIC_STRESS_T0B_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0B_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049165896;1670049236000;1670049246000;80104;10138;-;225.3;0.2;295198720;3217858560;295198720;3271471104;344128129;294033752;55638;25715;0;25026560;4436;159;/data/work/22/d5506626c5dc564ba34eb0cf089407;-;-
31;node8;3b/c7047e;nf-3bc7047ed6e5559237a01ef7f2f9032b;TRIMGALORE;OSMOTIC_STRESS_T0C_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0C_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049165997;1670049236000;1670049246000;80003;10083;-;218.2;0.2;264146944;3212357632;264146944;3273191424;344129206;294033758;56412;25692;0;25018368;5063;151;/data/work/3b/c7047ed6e5559237a01ef7f2f9032b;-;-
37;cpu14;81/cbb076;nf-81cbb076d734808ed14b6dc8fbfaffa9;TRIMGALORE;OSMOTIC_STRESS_T0D_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0D_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166159;1670049240000;1670049250000;83841;10098;-;225.4;0.2;253886464;3212357632;255451136;3269345280;344119876;294033692;56992;25738;0;25014272;5210;141;/data/work/81/cbb076d734808ed14b6dc8fbfaffa9;-;-
9;cpu14;c0/39610f;nf-c039610fca4a434ed1247085ee7283f4;TRIMGALORE;OSMOTIC_STRESS_T0_R1_T1;TRIMGALORE (OSMOTIC_STRESS_T0_R1_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049165561;1670049246000;1670049255000;89439;9148;-;239.8;0.2;248762368;3210260480;248762368;3269345280;341826460;291748842;56144;25553;0;24903680;5029;141;/data/work/c0/39610fca4a434ed1247085ee7283f4;-;-
41;node8;db/249573;nf-db249573c6c025ebf3df12b8797df43b;TRIMGALORE;OSMOTIC_STRESS_T0E_R2_T1;TRIMGALORE (OSMOTIC_STRESS_T0E_R2_T1);COMPLETED;0;-;nfcore/atacseq:1.2.2;6;43200000;-;53687091200;1;1670049166292;1670049242000;1670049252000;85708;10094;-;226.1;0.2;323178496;3212382208;323178496;3269369856;344129657;294033757;56968;25692;0;25047040;5357;132;/data/work/db/249573c6c025ebf3df12b8797df43b;-;-
